Table 1
Table W-4.  Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,
1940-49,"4,671","1,419","7,094","10,069",7.4%,"4,602","1,339","6,699","8,970",6.2%,"4,721","1,369","7,550","10,336",6.6%,"4,774","1,368","8,936","12,228",6.8%,"4,641","1,262","11,300","14,260",8.0%,"4,458","1,213","13,922","16,884",7.1%,"4,426","1,272","12,601","16,025",6.4%,"4,424","1,219","9,814","11,962",6.2%,"4,177","1,178","8,702","10,248",5.3%,"4,045","1,168","8,670","10,126",5.0%,"3,479","1,051","10,992","11,550",5.2%,,,
1950-59,"8,798","2,695","7,424","20,008",14.8%,"8,878","2,603","8,126","21,153",14.5%,"8,919","2,683","8,212","22,031",14.0%,"9,079","2,685","8,656","23,243",12.9%,"8,691","2,436","8,541","20,807",11.7%,"8,474","2,350","12,166","28,590",11.9%,"8,380","2,484","11,948","29,679",11.8%,"8,533","2,371","9,017","21,380",11.1%,"8,567","2,521","8,473","21,357",11.1%,"8,388","2,485","9,740","24,203",12.0%,"8,329","2,428","10,724","26,035",11.8%,,,
1960-69,"9,349","2,967","7,162","21,251",15.7%,"9,453","2,872","7,413","21,294",14.6%,"9,483","2,846","7,866","22,388",14.2%,"9,760","2,907","8,923","25,937",14.4%,"9,185","2,530","8,516","21,549",12.2%,"9,223","2,664","11,241","29,942",12.5%,"8,981","2,689","11,085","29,808",11.8%,"8,928","2,568","8,913","22,893",11.8%,"8,690","2,527","9,060","22,893",11.9%,"8,479","2,479","9,896","24,536",12.2%,"7,956","2,399","10,889","26,119",11.8%,,,
1970-79,"13,348","4,321","7,468","32,267",23.8%,"13,138","4,142","7,633","31,614",21.7%,"13,271","4,058","7,459","30,273",19.2%,"13,867","4,189","8,157","34,169",18.9%,"13,362","3,786","8,735","33,070",18.7%,"13,858","4,181","10,842","45,333",18.9%,"13,608","4,160","11,529","47,957",19.0%,"13,177","3,906","9,125","35,642",18.4%,"12,927","3,929","8,777","34,488",17.9%,"12,925","3,823","8,686","33,207",16.5%,"10,861","3,254","9,541","31,049",14.0%,,,
1980-89,"10,001","2,747","6,143","16,878",12.5%,"9,520","2,635","7,134","18,801",12.9%,"9,580","2,773","7,492","20,773",13.2%,"9,725","2,992","8,946","26,766",14.8%,"9,678","2,837","8,545","24,242",13.7%,"9,700","2,987","10,898","32,557",13.6%,"9,470","2,960","12,735","37,697",15.0%,"9,365","2,863","9,196","26,324",13.6%,"9,318","2,841","8,981","25,518",13.3%,"9,107","2,708","9,510","25,753",12.8%,"10,280","3,088","10,008","30,909",14.0%,,,
1990-99,"6,310","1,397","6,398","8,938",6.6%,"8,643","1,880","7,317","13,757",9.4%,"11,274","2,459","7,447","18,311",11.6%,"11,597","2,781","8,245","22,930",12.7%,"11,449","2,629","8,935","23,490",13.3%,"11,509","3,067","10,810","33,154",13.9%,"11,171","3,265","10,015","32,699",13.0%,"10,935","3,218","8,427","27,115",14.0%,"10,822","3,291","8,721","28,705",14.9%,"10,904","3,282","9,279","30,456",15.2%,"11,168","3,559","10,194","36,280",16.4%,,,
2000-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,087",353,"8,223","2,904",1.6%,"4,243",796,"10,239","8,148",4.6%,"7,044","1,371","9,698","13,297",5.6%,"9,307","1,955","12,346","24,138",9.6%,"10,975","2,304","7,948","18,314",9.5%,"11,520","2,614","7,777","20,326",10.6%,"10,631","2,634","7,341","19,334",9.6%,"10,980","2,955","8,269","24,436",11.1%,,,
2010-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,84,"11,433",957,0.5%,"1,502",266,"11,405","3,033",1.5%,"2,354",503,"9,125","4,586",2.1%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Family Detached,"52,258","16,009","7,649","122,441",90.4%,"53,756","15,790","8,200","129,472",88.8%,"56,471","16,604","8,523","141,514",89.9%,"59,306","17,384","9,478","164,755",91.3%,"59,666","16,427","9,743","160,060",90.3%,"61,733","17,685","12,306","217,635",91.0%,"62,540","18,440","12,426","229,141",90.9%,"63,385","18,352","9,630","176,725",91.4%,"62,765","18,404","9,398","172,962",89.9%,"62,965","18,562","9,756","181,089",90.1%,"61,919","18,657","10,721","200,027",90.5%,,,
Single Family Attached,"2,936",777,"6,262","4,866",3.6%,"3,030",801,"6,189","4,954",3.4%,"3,499",869,"7,194","6,248",4.0%,"3,731",963,"6,208","5,980",3.3%,"3,683",884,"6,749","5,968",3.4%,"3,978",950,"9,759","9,273",3.9%,"4,054","1,039","8,901","9,244",3.7%,"3,954",993,"7,294","7,242",3.7%,"4,101","1,138","7,426","8,450",4.4%,"3,982","1,077","8,462","9,115",4.5%,"3,896","1,121","8,659","9,709",4.4%,,,
Multifamily (2+ Units),"3,513",793,"5,160","4,094",3.0%,"3,446",810,"7,916","6,409",4.4%,"3,177",735,"7,330","5,385",3.4%,"3,300",769,"6,408","4,926",2.7%,"3,393",700,"7,570","5,299",3.0%,"3,744",765,"8,254","6,311",2.6%,"3,677",831,"9,706","8,065",3.2%,"3,740",702,"6,751","4,741",2.5%,"3,679",818,"7,696","6,296",3.3%,"3,428",772,"7,535","5,816",2.9%,"3,250",693,"8,313","5,764",2.6%,,,
Manufactured/Mobile,"4,837","1,311","3,092","4,054",3.0%,"5,255","1,408","3,476","4,894",3.4%,"5,649","1,425","2,936","4,185",2.7%,"6,028","1,555","3,099","4,818",2.7%,"5,516","1,345","4,429","5,957",3.4%,"5,487","1,495","4,046","6,051",2.5%,"5,374","1,425","3,916","5,580",2.2%,"5,386","1,429","3,235","4,624",2.4%,"5,663","1,526","3,018","4,606",2.4%,"5,276","1,358","3,675","4,991",2.5%,"5,295","1,465","3,843","5,632",2.5%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time in Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Years or Less,"13,534","3,854","8,162","31,457",23.2%,"13,218","3,768","9,038","34,050",23.4%,"14,137","3,963","9,791","38,797",24.7%,"14,571","4,228","10,276","43,450",24.1%,"13,108","3,526","10,966","38,666",21.8%,"14,238","3,802","14,047","53,408",22.3%,"13,155","3,662","15,740","57,639",22.9%,"10,613","3,023","10,462","31,624",16.4%,"9,683","2,936","11,441","33,590",17.5%,"9,075","2,419","12,337","29,839",14.8%,"9,915","2,787","13,324","37,132",16.8%,,,
First-Time Buyers,"5,195","1,502","6,338","9,523",7.0%,"5,326","1,535","5,998","9,209",6.3%,"5,699","1,608","6,055","9,734",6.2%,"5,723","1,732","6,330","10,966",6.1%,"5,014","1,383","8,680","12,009",6.8%,"5,505","1,450","8,000","11,602",4.8%,"4,603","1,272","9,309","11,844",4.7%,"4,295","1,227","6,398","7,849",4.1%,"4,521","1,402","7,602","10,657",5.5%,"3,676",981,"8,001","7,852",3.9%,"5,893","1,652","11,147","18,419",8.3%,,,
Previous Owners,"8,339","2,352","9,327","21,934",16.2%,"7,891","2,232","11,129","24,841",17.0%,"8,438","2,355","12,342","29,062",18.5%,"8,847","2,496","13,014","32,484",18.0%,"8,094","2,143","12,441","26,658",15.0%,"8,733","2,352","17,775","41,807",17.5%,"8,552","2,390","19,165","45,795",18.2%,"6,319","1,796","13,237","23,774",12.3%,"5,163","1,534","14,949","22,932",11.9%,"5,399","1,437","15,297","21,986",10.9%,"4,022","1,134","16,495","18,713",8.5%,,,
More Than 2 Years,"50,010","15,036","6,917","103,997",76.8%,"52,269","15,041","7,425","111,679",76.6%,"54,659","15,670","7,564","118,535",75.3%,"57,794","16,442","8,334","137,028",75.9%,"59,150","15,831","8,756","138,618",78.2%,"60,704","17,093","10,874","185,862",77.7%,"62,490","18,072","10,756","194,391",77.1%,"65,852","18,454","8,763","161,709",83.6%,"66,525","18,951","8,376","158,724",82.5%,"66,576","19,350","8,846","171,173",85.2%,"64,445","19,150","9,608","184,000",83.2%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"11,861","3,396","8,382","28,465",21.0%,"12,241","3,599","8,256","29,719",20.4%,"12,644","3,685","9,001","33,165",21.1%,"13,030","3,894","10,639","41,432",23.0%,"12,989","3,456","10,695","36,961",20.8%,"13,241","3,769","14,149","53,328",22.3%,"13,366","3,814","12,689","48,390",19.2%,"13,409","3,688","9,705","35,787",18.5%,"13,530","3,947","10,584","41,773",21.7%,"13,627","4,218","11,262","47,509",23.6%,"13,078","3,839","12,756","48,970",22.1%,,,
Midwest,"16,567","5,195","6,822","35,436",26.2%,"16,902","5,001","7,259","36,299",24.9%,"17,568","5,312","7,479","39,733",25.3%,"18,087","5,326","8,224","43,803",24.3%,"17,890","5,082","8,007","40,691",23.0%,"18,360","5,191","10,014","51,983",21.7%,"18,197","5,403","9,309","50,295",20.0%,"18,250","5,562","8,121","45,167",23.4%,"18,074","5,474","7,816","42,782",22.2%,"18,245","5,579","7,910","44,128",22.0%,"17,792","5,662","8,781","49,719",22.5%,,,
South,"22,959","6,529","6,249","40,795",30.1%,"23,650","6,523","6,960","45,400",31.2%,"25,180","6,574","7,070","46,476",29.5%,"26,740","7,100","7,496","53,225",29.5%,"26,698","6,731","8,360","56,271",31.7%,"27,995","7,440","9,842","73,223",30.6%,"28,476","7,799","10,595","82,628",32.8%,"29,204","7,849","8,326","65,351",33.8%,"29,163","7,959","8,364","66,568",34.6%,"28,551","7,728","8,871","68,557",34.1%,"28,108","7,920","9,060","71,757",32.4%,,,
West,"12,157","3,771","8,157","30,758",22.7%,"12,694","3,685","9,311","34,311",23.5%,"13,403","4,062","9,345","37,958",24.1%,"14,508","4,349","9,661","42,018",23.3%,"14,682","4,088","10,607","43,361",24.5%,"15,346","4,495","13,510","60,736",25.4%,"15,606","4,719","14,985","70,717",28.1%,"15,602","4,378","10,741","47,027",24.3%,"15,442","4,507","9,139","41,191",21.4%,"15,227","4,243","9,619","40,818",20.3%,"15,381","4,516","11,225","50,687",22.9%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within Metro Area,NA,NA,NA,NA,NA,"48,998","14,241","8,166","116,286",79.8%,"51,527","14,819","8,376","124,124",78.9%,"54,482","15,819","9,401","148,710",82.4%,"54,427","14,668","9,784","143,521",81.0%,"56,817","15,957","12,571","200,603",83.8%,"57,156","16,586","12,596","208,919",82.9%,"57,640","16,178","9,490","153,535",79.4%,"57,480","16,640","9,373","155,956",81.1%,"56,442","16,595","9,838","163,265",81.2%,NA,NA,NA,NA,NA,,,
Center City,NA,NA,NA,NA,NA,"14,938","4,263","7,491","31,934",21.9%,"15,512","4,508","7,827","35,280",22.4%,"16,254","4,720","8,530","40,264",22.3%,"16,080","4,291","9,687","41,567",23.4%,"16,859","4,722","12,473","58,904",24.6%,"17,015","4,801","11,733","56,331",22.4%,"17,231","4,754","9,463","44,990",23.3%,"16,560","4,775","8,764","41,849",21.8%,"16,757","4,835","8,973","43,384",21.6%,NA,NA,NA,NA,NA,,,
Suburb,NA,NA,NA,NA,NA,"34,061","9,978","8,454","84,352",57.9%,"36,015","10,311","8,616","88,844",56.5%,"38,228","11,099","9,771","108,446",60.1%,"38,347","10,377","9,825","101,954",57.5%,"39,958","11,235","12,612","141,700",59.2%,"40,142","11,785","12,947","152,587",60.5%,"40,409","11,424","9,502","108,545",56.1%,"40,920","11,864","9,618","114,107",59.3%,"39,684","11,760","10,194","119,881",59.6%,NA,NA,NA,NA,NA,,,
Non-Metro Area,NA,NA,NA,NA,NA,"16,489","4,567","6,447","29,443",20.2%,"17,269","4,814","6,898","33,208",21.1%,"17,883","4,851","6,549","31,769",17.6%,"17,831","4,689","7,201","33,763",19.0%,"18,124","4,938","7,831","38,667",16.2%,"18,489","5,148","8,374","43,111",17.1%,"18,825","5,299","7,510","39,798",20.6%,"18,729","5,247","6,929","36,357",18.9%,"19,209","5,174","7,295","37,746",18.8%,NA,NA,NA,NA,NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Expenditures are adjusted for inflation using CPI-U for All Items. Homeowners with negative or non-reported income are included in the Under $40,000 category. White, black, Asian and multiracial householders are non-Hispanic. Hispanic householders may be of any race. Recent movers that don't know or refuse to say if they owned homes previously are included in Previous Owners category. Metro definitions for 1995-2013 are based on 1990 Office of Management and Budget boundaries, while 2015 boundaries were updated to 2013 OMB definitions and are thus not historically comparable. 2013 tabulations use JCHS-adjusted weights and 2015 tabulations use preliminary HUD weights. For more information about the re-weighting methodology, see http://www.jchs.harvard.edu/research/publications/emerging-trends-remodeling-market.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: JCHS tabulations of the Department of Housing and Urban Development (HUD), 1995-2015 American Housing Surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
