Table 1
Table W-5.  Professional Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,,,,
Pre 1940,"11,068","2,410","8,045","19,384",18.8%,"11,254","2,363","8,884","20,995",19.2%,"11,548","2,507","9,729","24,393",20.3%,"11,476","2,362","10,647","25,152",17.9%,"11,009","2,104","11,070","23,294",18.0%,"10,676","2,163","15,005","32,460",17.8%,"10,303","2,108","12,644","26,652",13.5%,"10,128","2,090","11,158","23,319",15.2%,"9,782","2,082","10,801","22,491",14.2%,"9,668","2,082","11,971","24,918",15.0%,"8,952","1,980","11,739","23,245",13.1%,,,,,,
1940-49,"4,671","1,030","7,320","7,536",7.3%,"4,602",940,"7,032","6,609",6.0%,"4,721","1,006","7,435","7,481",6.2%,"4,774",942,"8,959","8,437",6.0%,"4,641",867,"9,223","7,996",6.2%,"4,458",829,"13,025","10,793",5.9%,"4,426",919,"13,780","12,665",6.4%,"4,424",858,"11,236","9,643",6.3%,"4,177",866,"9,156","7,928",5.0%,"4,045",849,"9,505","8,074",4.9%,"3,479",767,"12,290","9,429",5.3%,,,,,,
1950-59,"8,798","2,018","7,686","15,508",15.0%,"8,878","1,927","8,578","16,533",15.1%,"8,919","1,982","8,175","16,205",13.5%,"9,079","2,035","9,125","18,566",13.2%,"8,691","1,763","8,292","14,617",11.3%,"8,474","1,710","12,094","20,682",11.4%,"8,380","1,819","12,252","22,290",11.3%,"8,533","1,717","9,369","16,087",10.5%,"8,567","1,916","8,672","16,615",10.5%,"8,388","1,897","10,353","19,641",11.8%,"8,329","1,819","11,365","20,669",11.6%,,,,,,
1960-69,"9,349","2,242","7,384","16,553",16.0%,"9,453","2,116","7,833","16,577",15.2%,"9,483","2,145","8,325","17,858",14.9%,"9,760","2,228","9,203","20,506",14.6%,"9,185","1,874","8,850","16,588",12.8%,"9,223","1,991","11,913","23,716",13.0%,"8,981","2,031","11,780","23,923",12.1%,"8,928","1,911","9,821","18,769",12.2%,"8,690","1,999","9,391","18,768",11.9%,"8,479","1,925","10,552","20,310",12.2%,"7,956","1,820","12,060","21,950",12.3%,,,,,,
1970-79,"13,348","3,183","7,902","25,155",24.4%,"13,138","2,908","8,294","24,115",22.1%,"13,271","2,985","7,905","23,600",19.7%,"13,867","3,052","8,727","26,633",19.0%,"13,362","2,682","9,504","25,489",19.7%,"13,858","2,972","11,876","35,294",19.4%,"13,608","3,048","12,541","38,226",19.3%,"13,177","2,899","9,611","27,860",18.2%,"12,927","2,903","9,709","28,183",17.8%,"12,925","2,869","9,504","27,271",16.4%,"10,861","2,434","10,175","24,763",13.9%,,,,,,
1980-89,"10,001","1,889","6,792","12,829",12.4%,"9,520","1,851","8,067","14,931",13.7%,"9,580","2,042","8,164","16,671",13.9%,"9,725","2,253","9,639","21,716",15.5%,"9,678","2,073","9,070","18,801",14.5%,"9,700","2,215","10,923","24,195",13.3%,"9,470","2,205","13,750","30,323",15.3%,"9,365","2,125","9,973","21,196",13.8%,"9,318","2,204","9,741","21,471",13.6%,"9,107","2,089","10,392","21,710",13.1%,"10,280","2,329","10,559","24,596",13.8%,,,,,,
1990-99,"6,310",889,"7,005","6,226",6.0%,"8,643","1,168","8,115","9,482",8.7%,"11,274","1,665","8,211","13,675",11.4%,"11,597","1,810","9,493","17,186",12.2%,"11,449","1,756","9,508","16,701",12.9%,"11,509","2,184","11,520","25,163",13.8%,"11,171","2,433","10,760","26,179",13.2%,"10,935","2,397","9,239","22,142",14.4%,"10,822","2,504","9,828","24,611",15.6%,"10,904","2,497","10,405","25,980",15.7%,"11,168","2,740","10,968","30,049",16.9%,,,,,,
2000-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,087",258,"8,552","2,206",1.6%,"4,243",535,"11,511","6,156",4.7%,"7,044",932,"10,489","9,777",5.4%,"9,307","1,352","12,889","17,421",8.8%,"10,975","1,557","9,167","14,273",9.3%,"11,520","1,877","9,162","17,195",10.9%,"10,631","1,881","8,207","15,439",9.3%,"10,980","2,210","8,748","19,332",10.9%,,,,,,
2010-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,65,"12,109",791,0.5%,"1,502",203,"12,394","2,516",1.5%,"2,354",370,"10,613","3,929",2.2%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Family Detached,"52,258","11,674","7,975","93,100",90.2%,"53,756","11,255","8,615","96,964",88.8%,"56,471","12,211","8,829","107,803",89.9%,"59,306","12,715","10,119","128,658",91.6%,"59,666","11,676","10,129","118,269",91.2%,"61,733","12,793","13,087","167,420",91.9%,"62,540","13,619","13,194","179,687",90.9%,"63,385","13,402","10,481","140,460",91.6%,"62,765","13,990","10,183","142,455",90.1%,"62,965","13,953","10,696","149,237",90.0%,"61,919","14,074","11,471","161,438",90.7%,,,,,,
Single Family Attached,"2,936",624,"6,599","4,115",4.0%,"3,030",635,"6,271","3,984",3.6%,"3,499",718,"6,770","4,863",4.1%,"3,731",788,"6,040","4,760",3.4%,"3,683",706,"6,856","4,843",3.7%,"3,978",773,"7,716","5,965",3.3%,"4,054",832,"9,087","7,557",3.8%,"3,954",803,"7,432","5,970",3.9%,"4,101",932,"7,804","7,272",4.6%,"3,982",893,"8,998","8,036",4.8%,"3,896",949,"8,528","8,095",4.5%,,,,,,
Multifamily (2+ Units),"3,513",615,"5,609","3,448",3.3%,"3,446",655,"8,251","5,400",4.9%,"3,177",601,"7,731","4,647",3.9%,"3,300",655,"6,512","4,265",3.0%,"3,393",562,"6,909","3,883",3.0%,"3,744",605,"8,068","4,885",2.7%,"3,677",695,"10,274","7,145",3.6%,"3,740",587,"6,870","4,034",2.6%,"3,679",681,"8,102","5,518",3.5%,"3,428",670,"7,672","5,143",3.1%,"3,250",584,"8,701","5,083",2.9%,,,,,,
Manufactured/Mobile,"4,837",747,"3,387","2,530",2.5%,"5,255",729,"3,968","2,893",2.6%,"5,649",804,"3,199","2,571",2.1%,"6,028",782,"3,474","2,718",1.9%,"5,516",710,"3,730","2,647",2.0%,"5,487",825,"4,617","3,810",2.1%,"5,374",769,"4,279","3,290",1.7%,"5,386",762,"3,709","2,826",1.8%,"5,663",813,"3,453","2,808",1.8%,"5,276",776,"4,435","3,443",2.1%,"5,295",862,"3,882","3,345",1.9%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time in Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Years or Less,"13,534","2,666","8,574","22,856",22.1%,"13,218","2,477","10,066","24,935",22.8%,"14,137","2,812","10,336","29,063",24.2%,"14,571","3,060","10,931","33,451",23.8%,"13,108","2,459","10,388","25,543",19.7%,"14,238","2,715","15,204","41,274",22.7%,"13,155","2,694","16,113","43,417",22.0%,"10,613","2,164","11,185","24,203",15.8%,"9,683","2,245","12,110","27,183",17.2%,"9,075","1,854","12,524","23,220",14.0%,"9,915","2,093","14,448","30,239",17.0%,,,,,,
First-Time Buyers,"5,195",931,"6,637","6,178",6.0%,"5,326",897,"6,961","6,245",5.7%,"5,699","1,064","5,829","6,203",5.2%,"5,723","1,192","6,315","7,526",5.4%,"5,014",880,"6,077","5,348",4.1%,"5,505",927,"8,638","8,009",4.4%,"4,603",857,"7,758","6,645",3.4%,"4,295",801,"6,897","5,521",3.6%,"4,521","1,039","7,670","7,973",5.0%,"3,676",705,"7,892","5,561",3.4%,"5,893","1,215","11,828","14,369",8.1%,,,,,,
Previous Owners,"8,339","1,735","9,613","16,678",16.2%,"7,891","1,580","11,829","18,690",17.1%,"8,438","1,748","13,080","22,860",19.1%,"8,847","1,868","13,876","25,924",18.5%,"8,094","1,579","12,791","20,195",15.6%,"8,733","1,787","18,611","33,265",18.3%,"8,552","1,838","20,007","36,772",18.6%,"6,319","1,363","13,703","18,682",12.2%,"5,163","1,205","15,938","19,210",12.2%,"5,399","1,149","15,364","17,659",10.6%,"4,022",878,"18,071","15,870",8.9%,,,,,,
More Than 2 Years,"50,010","10,994","7,307","80,337",77.9%,"52,269","10,797","7,809","84,307",77.2%,"54,659","11,522","7,882","90,821",75.8%,"57,794","11,880","9,003","106,950",76.2%,"59,150","11,195","9,298","104,098",80.3%,"60,704","12,282","11,465","140,806",77.3%,"62,490","13,220","11,668","154,261",78.0%,"65,852","13,390","9,640","129,086",84.2%,"66,525","14,171","9,235","130,871",82.8%,"66,576","14,439","9,879","142,639",86.0%,"64,445","14,376","10,276","147,722",83.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"11,861","2,542","8,678","22,062",21.4%,"12,241","2,686","8,487","22,801",20.9%,"12,644","2,750","9,156","25,175",21.0%,"13,030","2,922","11,224","32,793",23.4%,"12,989","2,530","10,500","26,561",20.5%,"13,241","2,794","14,298","39,943",21.9%,"13,366","2,921","13,456","39,308",19.9%,"13,409","2,731","10,384","28,356",18.5%,"13,530","3,099","11,108","34,430",21.8%,"13,627","3,280","12,183","39,965",24.1%,"13,078","2,957","13,637","40,323",22.7%,,,,,,
Midwest,"16,567","3,711","7,145","26,516",25.7%,"16,902","3,495","7,502","26,219",24.0%,"17,568","3,859","7,728","29,822",24.9%,"18,087","3,901","8,567","33,424",23.8%,"17,890","3,566","8,289","29,556",22.8%,"18,360","3,638","11,089","40,339",22.2%,"18,197","3,893","10,082","39,253",19.9%,"18,250","3,968","8,707","34,547",22.5%,"18,074","4,039","8,506","34,356",21.7%,"18,245","4,102","8,600","35,279",21.3%,"17,792","4,196","9,327","39,130",22.0%,,,,,,
South,"22,959","4,742","6,563","31,123",30.2%,"23,650","4,562","7,377","33,650",30.8%,"25,180","4,755","7,488","35,609",29.7%,"26,740","5,034","8,304","41,802",29.8%,"26,698","4,725","8,592","40,597",31.3%,"27,995","5,355","10,182","54,524",29.9%,"28,476","5,708","11,498","65,626",33.2%,"29,204","5,763","9,222","53,148",34.7%,"29,163","5,930","9,369","55,563",35.2%,"28,551","5,782","9,869","57,066",34.4%,"28,108","5,962","9,691","57,775",32.5%,,,,,,
West,"12,157","2,664","8,817","23,493",22.8%,"12,694","2,531","10,500","26,571",24.3%,"13,403","2,970","9,859","29,279",24.4%,"14,508","3,083","10,504","32,382",23.1%,"14,682","2,834","11,618","32,927",25.4%,"15,346","3,210","14,728","47,274",26.0%,"15,606","3,393","15,766","53,491",27.1%,"15,602","3,092","12,043","37,238",24.3%,"15,442","3,347","10,069","33,706",21.3%,"15,227","3,128","10,726","33,549",20.2%,"15,381","3,355","12,141","40,733",22.9%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within Metro Area,NA,NA,NA,NA,NA,"48,998","10,339","8,693","89,876",82.3%,"51,527","11,167","8,706","97,226",81.1%,"54,482","11,758","9,986","117,414",83.6%,"54,427","10,718","10,081","108,057",83.4%,"56,817","11,809","13,179","155,632",85.5%,"57,156","12,544","13,404","168,129",85.1%,"57,640","12,146","10,236","124,326",81.1%,"57,480","12,913","10,123","130,712",82.7%,"56,442","12,907","10,642","137,366",82.8%,NA,NA,NA,NA,NA,,,,,,
Center City,NA,NA,NA,NA,NA,"14,938","3,204","7,770","24,895",22.8%,"15,512","3,479","8,081","28,117",23.5%,"16,254","3,620","8,962","32,444",23.1%,"16,080","3,203","9,609","30,779",23.7%,"16,859","3,598","13,379","48,133",26.4%,"17,015","3,708","12,645","46,892",23.7%,"17,231","3,634","10,215","37,120",24.2%,"16,560","3,776","9,385","35,438",22.4%,"16,757","3,822","9,417","35,992",21.7%,NA,NA,NA,NA,NA,,,,,,
Suburb,NA,NA,NA,NA,NA,"34,061","7,135","9,108","64,980",59.5%,"36,015","7,688","8,989","69,108",57.6%,"38,228","8,138","10,441","84,970",60.5%,"38,347","7,515","10,283","77,277",59.6%,"39,958","8,211","13,092","107,499",59.0%,"40,142","8,835","13,722","121,237",61.3%,"40,409","8,512","10,245","87,206",56.9%,"40,920","9,137","10,427","95,274",60.3%,"39,684","9,085","11,158","101,374",61.1%,NA,NA,NA,NA,NA,,,,,,
Non-Metro Area,NA,NA,NA,NA,NA,"16,489","2,935","6,598","19,366",17.7%,"17,269","3,166","7,156","22,658",18.9%,"17,883","3,182","7,225","22,987",16.4%,"17,831","2,936","7,352","21,584",16.6%,"18,124","3,187","8,297","26,448",14.5%,"18,489","3,371","8,765","29,549",14.9%,"18,825","3,408","8,499","28,964",18.9%,"18,729","3,503","7,805","27,342",17.3%,"19,209","3,385","8,416","28,493",17.2%,NA,NA,NA,NA,NA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Expenditures are adjusted for inflation using CPI-U for All Items. Homeowners with negative or non-reported income are included in the Under $40,000 category. White, black, Asian and multiracial householders are non-Hispanic. Hispanic householders may be of any race. Recent movers that don't know or refuse to say if they owned homes previously are included in Previous Owners category. Metro definitions for 1995-2013 are based on 1990 Office of Management and Budget boundaries, while 2015 boundaries were updated to 2013 OMB definitions and are thus not historically comparable. 2013 tabulations use JCHS-adjusted weights and 2015 tabulations use preliminary HUD weights. For more information about the re-weighting methodology, see http://www.jchs.harvard.edu/research/publications/emerging-trends-remodeling-market.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: JCHS tabulations of the Department of Housing and Urban Development (HUD), 1995-2015 American Housing Surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
