Table 1
Table W-6.  Do-It-Yourself Improvement Expenditures by Homeowner Characteristics: 1995-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,1997,,,,,1999,,,,,2001,,,,,2003,,,,,2005,,,,,2007,,,,,2009,,,,,2011,,,,,2013,,,,,2015,,,,,,,,,,
1940-49,"4,671",767,"3,304","2,533",7.9%,"4,602",717,"3,291","2,361",6.5%,"4,721",731,"3,906","2,855",7.6%,"4,774",737,"5,147","3,791",9.5%,"4,641",670,"9,352","6,264",13.1%,"4,458",660,"9,230","6,091",10.7%,"4,426",660,"5,089","3,360",6.2%,"4,424",642,"3,610","2,319",5.8%,"4,177",587,"3,956","2,321",6.8%,"4,045",555,"3,698","2,053",5.8%,"3,479",557,"3,806","2,121",4.9%,,,,,,
1950-59,"8,798","1,408","3,195","4,499",13.9%,"8,878","1,339","3,451","4,620",12.7%,"8,919","1,340","4,349","5,826",15.6%,"9,079","1,345","3,477","4,676",11.7%,"8,691","1,240","4,991","6,190",13.0%,"8,474","1,147","6,892","7,908",13.8%,"8,380","1,213","6,094","7,389",13.6%,"8,533","1,174","4,508","5,294",13.2%,"8,567","1,165","4,071","4,742",13.8%,"8,388","1,092","4,177","4,562",13.0%,"8,329","1,259","4,264","5,366",12.4%,,,,,,
1960-69,"9,349","1,486","3,161","4,698",14.6%,"9,453","1,410","3,346","4,717",12.9%,"9,483","1,420","3,190","4,530",12.1%,"9,760","1,413","3,844","5,431",13.6%,"9,185","1,266","3,919","4,961",10.4%,"9,223","1,326","4,697","6,226",10.9%,"8,981","1,256","4,687","5,884",10.8%,"8,928","1,228","3,359","4,124",10.3%,"8,690","1,121","3,681","4,125",12.0%,"8,479","1,025","4,124","4,225",12.0%,"7,956","1,154","3,614","4,170",9.7%,,,,,,
1970-79,"13,348","2,434","2,922","7,113",22.0%,"13,138","2,274","3,297","7,499",20.6%,"13,271","2,176","3,066","6,673",17.8%,"13,867","2,255","3,341","7,536",18.8%,"13,362","2,037","3,721","7,581",15.9%,"13,858","2,267","4,427","10,038",17.6%,"13,608","2,200","4,424","9,731",17.9%,"13,177","1,931","4,030","7,782",19.4%,"12,927","1,923","3,278","6,305",18.4%,"12,925","1,789","3,318","5,936",16.9%,"10,861","1,725","3,644","6,286",14.6%,,,,,,
1980-89,"10,001","1,532","2,643","4,048",12.5%,"9,520","1,368","2,829","3,870",10.6%,"9,580","1,446","2,836","4,101",11.0%,"9,725","1,516","3,331","5,050",12.6%,"9,678","1,473","3,694","5,441",11.4%,"9,700","1,577","5,303","8,363",14.6%,"9,470","1,495","4,934","7,374",13.6%,"9,365","1,451","3,533","5,127",12.8%,"9,318","1,291","3,134","4,047",11.8%,"9,107","1,187","3,406","4,043",11.5%,"10,280","1,528","4,131","6,314",14.6%,,,,,,
1990-99,"6,310",825,"3,285","2,711",8.4%,"8,643","1,019","4,195","4,275",11.7%,"11,274","1,298","3,572","4,636",12.4%,"11,597","1,502","3,825","5,744",14.3%,"11,449","1,422","4,773","6,790",14.3%,"11,509","1,532","5,216","7,991",14.0%,"11,171","1,607","4,058","6,520",12.0%,"10,935","1,532","3,246","4,973",12.4%,"10,822","1,517","2,699","4,094",12.0%,"10,904","1,407","3,180","4,476",12.7%,"11,168","1,778","3,504","6,231",14.4%,,,,,,
2000-09,NA,NA,NA,NA,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,087",170,"4,106",698,1.7%,"4,243",416,"4,790","1,992",4.2%,"7,044",699,"5,035","3,520",6.2%,"9,307",921,"7,295","6,717",12.4%,"10,975","1,155","3,500","4,041",10.1%,"11,520","1,227","2,552","3,131",9.1%,"10,631","1,231","3,163","3,895",11.1%,"10,980","1,467","3,479","5,104",11.8%,,,,,,
2010-19,NA,NA,NA,NA,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,35,"4,775",165,NA,"1,502",111,"4,651",518,1.5%,"2,354",243,"2,706",657,1.5%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Structure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single Family Detached,"52,258","8,847","3,316","29,341",90.9%,"53,756","8,424","3,859","32,509",89.1%,"56,471","8,736","3,859","33,711",90.0%,"59,306","9,139","3,950","36,097",90.1%,"59,666","8,744","4,780","41,791",87.7%,"61,733","9,201","5,458","50,214",87.8%,"62,540","9,289","5,324","49,455",91.0%,"63,385","9,298","3,900","36,265",90.6%,"62,765","8,722","3,498","30,506",89.0%,"62,965","8,462","3,764","31,852",90.6%,"61,919","9,590","4,024","38,589",89.4%,,,,,,
Single Family Attached,"2,936",332,"2,263",751,2.3%,"3,030",305,"3,182",970,2.7%,"3,499",343,"4,037","1,385",3.7%,"3,731",373,"3,269","1,219",3.0%,"3,683",349,"3,228","1,126",2.4%,"3,978",362,"9,141","3,308",5.8%,"4,054",438,"3,853","1,686",3.1%,"3,954",345,"3,685","1,273",3.2%,"4,101",401,"2,934","1,178",3.4%,"3,982",352,"3,063","1,078",3.1%,"3,896",396,"4,074","1,614",3.7%,,,,,,
Multifamily (2+ Units),"3,513",298,"2,165",646,2.0%,"3,446",285,"3,531","1,008",2.8%,"3,177",256,"2,877",738,2.0%,"3,300",245,"2,696",661,1.6%,"3,393",239,"5,916","1,417",3.0%,"3,744",295,"4,827","1,426",2.5%,"3,677",262,"3,506",920,1.7%,"3,740",210,"3,364",708,1.8%,"3,679",235,"3,305",778,2.3%,"3,428",193,"3,493",673,1.9%,"3,250",223,"3,059",681,1.6%,,,,,,
Manufactured/Mobile,"4,837",832,"1,831","1,524",4.7%,"5,255",918,"2,178","2,001",5.5%,"5,649",927,"1,741","1,614",4.3%,"6,028","1,041","2,018","2,100",5.2%,"5,516",911,"3,632","3,310",6.9%,"5,487",981,"2,286","2,242",3.9%,"5,374",888,"2,580","2,291",4.2%,"5,386",943,"1,906","1,797",4.5%,"5,663",993,"1,811","1,798",5.2%,"5,276",829,"1,869","1,549",4.4%,"5,295",946,"2,418","2,287",5.3%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time in Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.0%,,,,,,,,,,,,,,,,
2 Years or Less,"13,534","2,403","3,579","8,601",26.7%,"13,218","2,302","3,959","9,116",25.0%,"14,137","2,301","4,231","9,734",26.0%,"14,571","2,395","4,175","9,999",24.9%,"13,108","2,078","6,317","13,124",27.5%,"14,238","2,117","5,731","12,134",21.2%,"13,155","1,931","7,365","14,222",26.2%,"10,613","1,701","4,362","7,420",18.5%,"9,683","1,529","4,191","6,407",18.7%,"9,075","1,207","5,486","6,619",18.8%,"9,915","1,541","4,474","6,893",16.0%,,,,,,
First-Time Buyers,"5,195","1,052","3,178","3,345",10.4%,"5,326","1,042","2,846","2,965",8.1%,"5,699","1,020","3,461","3,532",9.4%,"5,723","1,052","3,269","3,440",8.6%,"5,014",894,"7,449","6,661",14.0%,"5,505",886,"4,052","3,592",6.3%,"4,603",752,"6,910","5,200",9.6%,"4,295",767,"3,034","2,328",5.8%,"4,521",772,"3,479","2,684",7.8%,"3,676",539,"4,248","2,291",6.5%,"5,893",928,"4,366","4,050",9.4%,,,,,,
Previous Owners,"8,339","1,351","3,892","5,257",16.3%,"7,891","1,261","4,878","6,151",16.9%,"8,438","1,280","4,845","6,202",16.6%,"8,847","1,343","4,885","6,559",16.4%,"8,094","1,183","5,461","6,463",13.6%,"8,733","1,231","6,939","8,542",14.9%,"8,552","1,179","7,655","9,022",16.6%,"6,319",934,"5,455","5,093",12.7%,"5,163",757,"4,916","3,722",10.9%,"5,399",667,"6,486","4,328",12.3%,"4,022",613,"4,638","2,843",6.6%,,,,,,
More Than 2 Years,"50,010","7,907","2,992","23,660",73.3%,"52,269","7,630","3,588","27,372",75.0%,"54,659","7,962","3,481","27,713",74.0%,"57,794","8,403","3,579","30,078",75.1%,"59,150","8,165","4,228","34,520",72.5%,"60,704","8,722","5,166","45,056",78.8%,"62,490","8,946","4,486","40,130",73.8%,"65,852","9,096","3,587","32,623",81.5%,"66,525","8,823","3,157","27,853",81.3%,"66,576","8,629","3,307","28,534",81.2%,"64,445","9,614","3,773","36,278",84.0%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"11,861","1,763","3,632","6,403",19.8%,"12,241","1,810","3,823","6,917",19.0%,"12,644","1,837","4,350","7,991",21.3%,"13,030","1,897","4,554","8,639",21.6%,"12,989","1,729","6,016","10,400",21.8%,"13,241","1,839","7,279","13,385",23.4%,"13,366","1,763","5,152","9,082",16.7%,"13,409","1,778","4,181","7,431",18.6%,"13,530","1,743","4,212","7,343",21.4%,"13,627","1,781","4,236","7,544",21.5%,"13,078","1,882","4,596","8,647",20.0%,,,,,,
Midwest,"16,567","2,911","3,065","8,921",27.7%,"16,902","2,738","3,682","10,080",27.6%,"17,568","2,852","3,475","9,911",26.5%,"18,087","2,858","3,632","10,380",25.9%,"17,890","2,797","3,981","11,134",23.4%,"18,360","2,826","4,121","11,644",20.4%,"18,197","2,833","3,898","11,042",20.3%,"18,250","2,963","3,585","10,620",26.5%,"18,074","2,766","3,046","8,426",24.6%,"18,245","2,729","3,243","8,849",25.2%,"17,792","3,041","3,482","10,589",24.5%,,,,,,
South,"22,959","3,485","2,775","9,672",30.0%,"23,650","3,337","3,521","11,750",32.2%,"25,180","3,313","3,281","10,867",29.0%,"26,740","3,699","3,088","11,423",28.5%,"26,698","3,471","4,515","15,674",32.9%,"27,995","3,787","4,937","18,699",32.7%,"28,476","3,843","4,424","17,002",31.3%,"29,204","3,752","3,252","12,203",30.5%,"29,163","3,672","2,997","11,005",32.1%,"28,551","3,349","3,431","11,491",32.7%,"28,108","3,888","3,596","13,981",32.4%,,,,,,
West,"12,157","2,150","3,379","7,266",22.5%,"12,694","2,048","3,779","7,740",21.2%,"13,403","2,262","3,837","8,679",23.2%,"14,508","2,345","4,110","9,636",24.0%,"14,682","2,246","4,647","10,434",21.9%,"15,346","2,387","5,640","13,461",23.5%,"15,606","2,438","7,064","17,226",31.7%,"15,602","2,305","4,248","9,789",24.4%,"15,442","2,170","3,450","7,485",21.8%,"15,227","1,977","3,676","7,268",20.7%,"15,381","2,344","4,246","9,954",23.1%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Within Metro Area,NA,NA,NA,NA,NA,"48,998","7,289","3,623","26,411",72.4%,"51,527","7,491","3,591","26,898",71.8%,"54,482","8,024","3,900","31,296",78.1%,"54,427","7,464","4,751","35,464",74.4%,"56,817","7,957","5,652","44,971",78.6%,"57,156","7,968","5,119","40,789",75.0%,"57,640","7,735","3,776","29,209",72.9%,"57,480","7,445","3,391","25,244",73.7%,"56,442","7,083","3,657","25,899",73.7%,NA,NA,NA,NA,NA,,,,,,
Center City,NA,NA,NA,NA,NA,"14,938","2,034","3,461","7,039",19.3%,"15,512","2,191","3,269","7,163",19.1%,"16,254","2,268","3,448","7,820",19.5%,"16,080","2,128","5,070","10,788",22.6%,"16,859","2,217","4,859","10,771",18.8%,"17,015","2,216","4,261","9,440",17.4%,"17,231","2,212","3,558","7,870",19.7%,"16,560","2,065","3,105","6,411",18.7%,"16,757","2,006","3,685","7,392",21.0%,NA,NA,NA,NA,NA,,,,,,
Suburb,NA,NA,NA,NA,NA,"34,061","5,255","3,686","19,372",53.1%,"36,015","5,300","3,723","19,735",52.7%,"38,228","5,756","4,078","23,476",58.6%,"38,347","5,337","4,624","24,676",51.8%,"39,958","5,741","5,958","34,200",59.8%,"40,142","5,752","5,450","31,350",57.7%,"40,409","5,523","3,864","21,340",53.3%,"40,920","5,380","3,501","18,834",55.0%,"39,684","5,077","3,645","18,507",52.6%,NA,NA,NA,NA,NA,,,,,,
Non-Metro Area,NA,NA,NA,NA,NA,"16,489","2,644","3,812","10,077",27.6%,"17,269","2,772","3,806","10,549",28.2%,"17,883","2,774","3,166","8,782",21.9%,"17,831","2,779","4,383","12,179",25.6%,"18,124","2,882","4,240","12,219",21.4%,"18,489","2,909","4,662","13,562",25.0%,"18,825","3,062","3,539","10,834",27.1%,"18,729","2,907","3,101","9,016",26.3%,"19,209","2,753","3,362","9,253",26.3%,NA,NA,NA,NA,NA,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Expenditures are adjusted for inflation using CPI-U for All Items. Homeowners with negative or non-reported income are included in the Under $40,000 category. White, black, Asian and multiracial householders are non-Hispanic. Hispanic householders may be of any race. Recent movers that don't know or refuse to say if they owned homes previously are included in Previous Owners category. Metro definitions for 1995-2013 are based on 1990 Office of Management and Budget boundaries, while 2015 boundaries were updated to 2013 OMB definitions and are thus not historically comparable. 2013 tabulations use JCHS-adjusted weights and 2015 tabulations use preliminary HUD weights. For more information about the re-weighting methodology, see http://www.jchs.harvard.edu/research/publications/emerging-trends-remodeling-market.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: JCHS tabulations of the Department of Housing and Urban Development (HUD), 1995-2015 American Housing Surveys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
